chapitre,niveau,niveau_global,repere,x,y,situation,profondeur_impasse,distance_repere
3,3,13,K09,29,27,impasse,2,28
3,3,13,K10,19,33,impasse,2,8
3,4,14,K01,8,10,recoin,0,8
3,4,14,K02,27,10,recoin,0,9
3,4,14,K03,1,17,impasse,8,20
3,4,14,K04,1,21,recoin,0,12
3,4,14,K05,29,22,recoin,0,11
3,4,14,K06,32,23,recoin,0,15
3,4,14,K07,1,27,impasse,2,10
3,4,14,K08,24,27,recoin,0,11
3,4,14,K09,14,30,recoin,0,18
3,4,14,K10,9,33,recoin,0,16
3,5,15,K01,5,1,impasse,8,26
3,5,15,K02,3,5,impasse,2,20
3,5,15,K03,31,5,impasse,8,10
3,5,15,K04,1,9,impasse,14,36
3,5,15,K05,27,9,impasse,2,17
3,5,15,K06,29,13,impasse,2,10
3,5,15,K07,5,15,impasse,4,5
3,5,15,K08,29,21,impasse,2,6
3,5,15,K09,3,23,impasse,6,28
3,5,15,K10,27,25,impasse,2,17
4,1,16,K01,9,13,recoin,0,8
4,1,16,K02,24,17,recoin,0,21
4,1,16,K03,21,21,impasse,2,16
4,1,16,K04,15,25,impasse,4,10
4,1,16,K05,7,27,recoin,0,18
4,1,16,K06,29,28,recoin,0,15
4,1,16,K07,1,29,impasse,4,12
4,1,16,K08,11,29,impasse,4,10
4,1,16,K09,7,31,impasse,4,20
4,1,16,K10,27,31,impasse,8,12
4,2,17,K01,5,1,impasse,2,8
4,2,17,K02,3,5,impasse,2,18
4,2,17,K03,19,5,impasse,4,12
4,2,17,K04,5,13,impasse,2,12
4,2,17,K05,23,13,recoin,0,28
4,2,17,K06,25,15,impasse,10,12
4,2,17,K07,1,19,impasse,2,10
4,2,17,K08,21,23,impasse,10,12
4,2,17,K09,3,27,impasse,8,12
4,2,17,K10,23,31,impasse,2,18
4,3,18,K01,18,1,recoin,0,17
4,3,18,K02,33,1,recoin,0,11
4,3,18,K03,14,5,recoin,0,17
4,3,18,K04,5,8,recoin,0,11
4,3,18,K05,33,11,recoin,0,8
4,3,18,K06,1,12,recoin,0,11
4,3,18,K07,22,17,recoin,0,11
4,3,18,K08,5,23,recoin,0,8
4,3,18,K09,14,25,recoin,0,11
4,3,18,K10,18,33,recoin,0,15
4,4,19,K01,31,5,impasse,8,24
4,4,19,K02,19,7,impasse,8,10
4,4,19,K03,27,9,impasse,4,16
4,4,19,K04,21,11,impasse,4,18
4,4,19,K05,33,11,impasse,2,24
4,4,19,K06,3,17,impasse,18,44
4,4,19,K07,27,19,impasse,4,14
4,4,19,K08,11,23,impasse,8,10
4,4,19,K09,23,25,impasse,14,18
4,4,19,K10,15,33,impasse,4,12
4,5,20,K01,31,6,recoin,0,9
4,5,20,K02,17,7,impasse,4,14
4,5,20,K03,27,9,impasse,2,18
4,5,20,K04,1,11,impasse,4,14
4,5,20,K05,9,11,impasse,2,10
4,5,20,K06,1,23,impasse,24,30
4,5,20,K07,7,25,impasse,2,6
4,5,20,K08,33,25,recoin,0,12
4,5,20,K09,25,26,recoin,0,19
4,5,20,K10,2,31,recoin,0,21
5,1,21,K01,25,5,impasse,4,12
5,1,21,K02,2,9,recoin,0,31
5,1,21,K03,31,11,impasse,4,14
5,1,21,K04,7,13,impasse,2,46
5,1,21,K05,3,15,recoin,0,32
5,1,21,K06,3,19,impasse,2,12
5,1,21,K07,5,23,impasse,6,22
5,1,21,K08,9,25,impasse,6,8
5,1,21,K09,29,25,impasse,6,8
5,1,21,K10,25,29,recoin,0,12
5,2,22,K01,6,1,recoin,0,11
5,2,22,K02,14,1,recoin,0,19
5,2,22,K03,22,1,recoin,0,11
5,2,22,K04,12,7,recoin,0,5
5,2,22,K05,27,12,recoin,0,15
5,2,22,K06,1,14,recoin,0,6
5,2,22,K07,33,14,recoin,0,13
5,2,22,K08,15,27,recoin,0,12
5,2,22,K09,10,33,recoin,0,7
5,2,22,K10,28,33,recoin,0,11
5,3,23,K01,24,1,recoin,0,9
5,3,23,K02,13,3,recoin,0,6
5,3,23,K03,11,9,recoin,0,10
5,3,23,K04,33,9,recoin,0,8
5,3,23,K05,33,17,impasse,4,16
5,3,23,K06,13,19,recoin,0,6
5,3,23,K07,13,25,impasse,4,12
5,3,23,K08,25,25,impasse,4,8
5,3,23,K09,5,29,recoin,0,16
5,3,23,K10,23,31,impasse,2,6
5,4,24,K01,23,7,impasse,2,16
5,4,24,K02,29,11,impasse,8,16
5,4,24,K03,5,23,impasse,4,8
5,4,24,K04,13,23,impasse,4,40
5,4,24,K05,31,23,impasse,2,15
5,4,24,K06,25,27,impasse,4,29
5,4,24,K07,33,27,impasse,4,6
5,4,24,K08,9,29,impasse,6,42
5,4,24,K09,15,33,impasse,2,20
5,4,24,K10,21,33,impasse,2,24
5,5,25,K01,7,1,impasse,4,26
5,5,25,K02,9,5,impasse,2,32
5,5,25,K03,15,5,impasse,2,32
5,5,25,K04,15,9,recoin,0,40
5,5,25,K05,11,13,recoin,0,30
5,5,25,K06,17,15,impasse,4,26
5,5,25,K07,21,15,impasse,2,18
5,5,25,K08,33,17,impasse,6,8
5,5,25,K09,15,19,impasse,18,40
5,5,25,K10,19,21,impasse,4,14
